district,lat,lon,elevation,terrain,max_elevation,discharge_donor
Achham,29.1350433,81.2576054,1436.0,Hilly,2463.0,pokhara
Arghakhanchi,27.969602,83.1269536,953.0,Hilly,1317.0,pokhara
Baglung,28.26568,83.5972502,965.0,Hilly,1707.0,pokhara
Baitadi,29.463441,80.5499301,1283.0,Hilly,2256.0,pokhara
Bajhang,29.5477308,81.1933393,1263.0,Mountain,3447.0,manang
Bajura,29.5044683,81.6706415,1435.0,Mountain,3251.0,manang
Bara,27.0317694,85.0122182,101.0,Terai,175.0,biratnagar
Bardiya,28.2041571,81.3430801,147.0,Terai,177.0,nepalgunj
Bhaktapur,27.6836466,85.367829,1311.0,Hilly,2012.0,kathmandu
Chitwan,27.6772652,84.4387178,212.0,Terai,525.0,nepalgunj
Dadeldhura,29.2993585,80.5849393,1881.0,Hilly,1881.0,pokhara
Dailekh,28.8380316,81.7106443,1336.0,Hilly,1891.0,pokhara
Dang,28.0355328,82.4828565,672.0,Hilly,1300.0,pokhara
Darchula,29.9127333,80.7937159,3855.0,Mountain,3855.0,manang
Dhading,27.9114659,84.8980987,631.0,Hilly,1260.0,kathmandu
Dhankuta,26.9720674,87.3435998,1098.0,Hilly,1098.0,illam
Dolakha,27.6329785,86.2324209,1888.0,Mountain,3572.0,manang
Dolpa,28.9576735,82.8907399,2085.0,Mountain,4863.0,manang
Doti,29.2707048,80.9882596,1335.0,Hilly,2206.0,pokhara
Gorkha,27.9949001,84.6279621,1058.0,Hilly,1483.0,pokhara
Gulmi,28.0682616,83.2482724,1519.0,Hilly,1886.0,pokhara
Humla,29.9671522,81.8204193,2939.0,Mountain,5197.0,manang
Jhapa,26.5837354,87.885701,98.0,Terai,219.0,biratnagar
Jumla,29.2685719,82.1765616,2318.0,Mountain,4262.0,manang
Kalikot,29.1506943,81.6106564,1771.0,Hilly,2737.0,pokhara
Kanchanpur,28.8439451,80.2833071,205.0,Terai,265.0,nepalgunj
Kavrepalanchok,27.6279479,85.5234513,1463.0,Hilly,2632.0,kathmandu
Khotang,27.2133094,86.7949062,1563.0,Hilly,1907.0,illam
Lalitpur,27.665847,85.322427,1331.0,Hilly,1949.0,kathmandu
Lamjung,28.2290844,84.3791341,785.0,Hilly,2363.0,pokhara
Mahottari,26.6472896,85.7983037,67.0,Terai,84.0,biratnagar
Mugu,29.5483367,82.1544482,2086.0,Mountain,3970.0,manang
Nawalparasi East,27.6537641,84.0311367,210.0,Hilly,1210.0,pokhara
Nuwakot,27.9139628,85.1421083,582.0,Hilly,3321.0,kathmandu
Palpa,27.8659598,83.5416744,1295.0,Hilly,1683.0,pokhara
Panchthar,27.1488979,87.7663813,1168.0,Hilly,1618.0,illam
Parbat,28.2116711,83.6757747,855.0,Hilly,3016.0,pokhara
Parsa,27.0308389,84.8850951,88.0,Terai,114.0,biratnagar
Pyuthan,28.087496,82.8839438,1354.0,Hilly,1591.0,pokhara
Ramechhap,27.3808649,86.0617377,565.0,Hilly,1475.0,kathmandu
Rasuwa,28.1107854,85.2950916,2086.0,Mountain,4482.0,manang
Rautahat,26.7653442,85.2745161,81.0,Terai,83.0,biratnagar
Rolpa,28.3223102,82.6157842,1256.0,Hilly,1781.0,pokhara
Rukum West,28.6335955,82.4560176,1564.0,Mountain,3133.0,manang
Rupandehi,27.5035006,83.4521214,109.0,Terai,142.0,nepalgunj
Salyan,28.3722405,82.1723592,1340.0,Hilly,1991.0,pokhara
Sankhuwasabha,27.2909987,87.3144334,1255.0,Hilly,1924.0,illam
Saptari,26.5406895,86.7459589,90.0,Terai,271.0,biratnagar
Sindhuli,27.2123172,85.9136079,519.0,Hilly,1270.0,kathmandu
Siraha,26.6551171,86.2063022,79.0,Terai,103.0,biratnagar
Solukhumbu,27.5153681,86.5858754,2523.0,Mountain,4022.0,manang
Sunsari,26.5882743,87.1387569,84.0,Terai,103.0,biratnagar
Syangja,28.0991431,83.8703312,852.0,Hilly,1573.0,pokhara
Tanahu,27.9722311,84.2664961,342.0,Hilly,913.0,pokhara
Taplejung,27.3586827,87.6729259,1767.0,Mountain,3445.0,manang
Terhathum,27.1290911,87.5346974,1614.0,Hilly,2547.0,illam
Udayapur,26.7955593,86.6968048,182.0,Hilly,1461.0,illam
Bhojpur,27.1743038,87.0934775,1829.0,Hilly,1976.0,illam
Rukum East,28.6394558,82.5517807,1396.0,Mountain,3088.0,manang
Jajarkot,28.6988942,82.200159,1231.0,Hilly,2608.0,pokhara
Kailali,28.703304,80.567017,181.0,Terai,240.0,nepalgunj
Kapilbastu,27.5672234,83.0659219,107.0,Terai,157.0,nepalgunj
Makwanpur,27.4295853,85.0326586,470.0,Hilly,1530.0,kathmandu
Mustang,28.7838097,83.7304953,2733.0,Mountain,5179.0,manang
Myagdi,28.344498,83.566635,876.0,Hilly,2678.0,pokhara
Nawalparasi West,27.5308652,83.6707882,115.0,Terai,831.0,nepalgunj
Sarlahi,26.8539506,85.5614311,88.0,Terai,115.0,biratnagar
Sindhupalchok,27.9059127,85.7563055,1282.0,Hilly,2412.0,kathmandu
Surkhet,28.595387,81.628494,707.0,Hilly,1413.0,pokhara
Okhaldhunga,27.3167,86.5,1741.0,Hilly,2439.0,kathmandu
