district,place_name,lat,lon,terrain
Bhojpur,bhojpur,27.1691,87.0506,Hilly
Dhankuta,dhankuta,26.9808,87.3411,Hilly
Ilam,illam,26.9095,87.9254,Hilly
Jhapa,bhadrapur,26.5458,88.0872,Terai
Khotang,diktel,27.2025,86.7828,Hilly
Morang,biratnagar,26.4525,87.2718,Terai
Okhaldhunga,okhaldhunga,27.3175,86.5056,Hilly
Panchthar,phidim,27.1558,87.7522,Hilly
Sankhuwasabha,khandbari,27.3828,87.2056,Mountain
Solukhumbu,salleri,27.4983,86.5703,Mountain
Sunsari,inaruwa,26.5989,87.1475,Terai
Taplejung,phungling,27.3522,87.6692,Mountain
Terhathum,myanglung,27.1261,87.4539,Hilly
Udayapur,gaighat,26.7894,86.8336,Hilly
Bara,kalaiya,27.0333,85.0500,Terai
Dhanusa,janakpur,26.7288,85.9221,Terai
Mahottari,jaleshwar,26.6439,85.7981,Terai
Parsa,birgunj,27.0123,84.8774,Terai
Rautahat,gaur,26.7658,85.2742,Terai
Saptari,rajbiraj,26.5447,86.7469,Terai
Sarlahi,malangwa,26.8583,85.5597,Terai
Siraha,siraha,26.6575,86.1981,Terai
Bhaktapur,bhaktapur,27.6710,85.4298,Hilly
Chitwan,bharatpur,27.6833,84.4333,Terai
Dhading,dhadingbesi,27.8731,84.8647,Hilly
Dolakha,charikot,27.6744,86.2239,Mountain
Kathmandu,kathmandu,27.7172,85.3240,Hilly
Kavrepalanchok,dhulikhel,27.6253,85.5456,Hilly
Lalitpur,patan,27.6682,85.3206,Hilly
Makwanpur,hetauda,27.4275,85.0319,Hilly
Nuwakot,bidur,27.9103,85.1583,Hilly
Ramechhap,manthali,27.3917,86.0622,Hilly
Rasuwa,dhunche,28.1136,85.2953,Mountain
Sindhuli,sindhulimadhi,27.2567,85.9753,Hilly
Sindhupalchok,chautara,27.7850,85.7094,Mountain
Baglung,baglung,28.2711,83.5956,Hilly
Gorkha,gorkha,28.0000,84.6300,Hilly
Kaski,pokhara,28.2096,83.9856,Hilly
Lamjung,besisahar,28.2333,84.3833,Hilly
Manang,chame,28.5500,84.2333,Mountain
Mustang,jomsom,28.7833,83.7333,Mountain
Myagdi,beni,28.3500,83.5667,Hilly
Nawalparasi East,kawasoti,27.6397,84.1256,Terai
Parbat,kusma,28.2217,83.6761,Hilly
Syangja,putalibazar,27.9833,83.8667,Hilly
Tanahu,damauli,27.9667,84.2667,Hilly
Arghakhanchi,sandhikharka,27.9500,83.1333,Hilly
Banke,nepalgunj,28.0500,81.6167,Terai
Bardiya,gulariya,28.2333,81.3833,Terai
Dang,ghorahi,28.0000,82.5000,Hilly
Gulmi,tamghas,28.0667,83.2500,Hilly
Kapilbastu,taulihawa,27.5500,83.0500,Terai
Nawalparasi West,parasi,27.5333,83.6667,Terai
Palpa,tansen,27.8667,83.5500,Hilly
Pyuthan,pyuthan,28.1000,82.8500,Hilly
Rolpa,liwang,28.2667,82.6167,Hilly
Rukum East,rukumkot,28.6000,82.6833,Hilly
Rupandehi,bhairahawa,27.5000,83.4500,Terai
Dailekh,dailekh,28.8333,81.7167,Hilly
Dolpa,dunai,28.9333,82.9167,Mountain
Humla,simikot,29.9667,81.8333,Mountain
Jajarkot,jajarkot,28.7000,82.2667,Hilly
Jumla,jumla,29.2833,82.1833,Mountain
Kalikot,manma,29.1500,81.6000,Mountain
Mugu,gamgadhi,29.5333,82.1500,Mountain
Salyan,salyan,28.3833,82.1667,Hilly
Surkhet,birendranagar,28.6000,81.6333,Hilly
Rukum West,musikot,28.6300,82.4900,Hilly
Achham,mangalsen,29.1114,81.2989,Hilly
Baitadi,dasharathchand,29.5833,80.5500,Hilly
Bajhang,chainpur,29.5500,81.2167,Mountain
Bajura,martadi,29.5000,81.4333,Mountain
Dadeldhura,amargadhi,29.3000,80.5833,Hilly
Darchula,darchula,29.8500,80.5333,Mountain
Doti,dipayal,29.2667,80.9333,Hilly
Kailali,dhangadhi,28.6833,80.5833,Terai
Kanchanpur,mahendranagar,28.9667,80.3333,Terai
